exercise_id,nombre,portada,animacion,duracion,tamano_portada,tamano_animacion,estado,observaciones
17,Rondo 4 vs 2 + Progresión,animations/17/portada.webp,animations/17/animacion.webm,8.00,2846,385929,OK,Ficha completa y referencia ab425f0bc057b9e3.png revisadas; Rondo representado con objetivos Sacar de zona · Pressing.
18,Rondo 6 vs 2,animations/18/portada.webp,animations/18/animacion.webm,8.00,2558,342653,OK,Ficha completa y referencia 8dd1d84a03bc2e45.png revisadas; Rondo representado con objetivos Pases interiores · Conservación de balón.
19,Rondo 3 vs 3 + 4 Comodines,animations/19/portada.webp,animations/19/animacion.webm,8.00,3120,376573,OK,Ficha completa y referencia 486d6d62031d5911.png revisadas; Rondo representado con objetivos Pases interiores · Conservación de balón.
20,Rueda de pase tercer hombre en línea,animations/20/portada.webp,animations/20/animacion.webm,8.00,1622,212125,OK,Ficha completa y referencia 99850454e31dc54e.png revisadas; Rueda de pase representado con objetivos Tercer hombre · Técnica.
21,Rueda de pase en cuadrado,animations/21/portada.webp,animations/21/animacion.webm,8.00,4304,411282,OK,Ficha completa y referencia 66121859800aea5b.png revisadas; Rueda de pase representado con objetivos Tercer hombre · Dejar de cara.
22,Rueda de pase tercer hombre,animations/22/portada.webp,animations/22/animacion.webm,8.00,2986,279240,OK,Ficha completa y referencia 0f9792a59b43533b.png revisadas; Rueda de pase representado con objetivos Tercer hombre · Dejar de cara.
23,Rueda de pase balón de cara,animations/23/portada.webp,animations/23/animacion.webm,8.00,3654,327065,OK,Ficha completa y referencia 74f6e1772478c04a.png revisadas; Rueda de pase representado con objetivos Dejar de cara · Tercer hombre.
24,Rueda de pase + Coordinación,animations/24/portada.webp,animations/24/animacion.webm,8.00,3706,340754,OK,Ficha completa y referencia 5b13b14e61d6ace2.png revisadas; Rueda de pase representado con objetivos Dejar de cara · Coordinación.
25,Rueda de pase tercer hombre en triángulo,animations/25/portada.webp,animations/25/animacion.webm,8.00,3566,338628,OK,Ficha completa y referencia 26e96c0c9f2e1414.png revisadas; Rueda de pase representado con objetivos Tercer hombre · Balón de cara.
26,Rueda de pase colocación,animations/26/portada.webp,animations/26/animacion.webm,8.00,4182,393539,OK,Ficha completa y referencia b350fa368dc475ee.png revisadas; Rueda de pase representado con objetivos Inicio de juego · Colocación.
27,Rueda de pase reloj,animations/27/portada.webp,animations/27/animacion.webm,8.00,3564,329602,OK,Ficha completa y referencia 7e7289b92c253f79.png revisadas; Rueda de pase representado con objetivos Toma de decisiones · Comunicación.
28,Rueda de pase en triángulo,animations/28/portada.webp,animations/28/animacion.webm,8.00,3506,326564,OK,Ficha completa y referencia 6c3942bb3e0008e9.png revisadas; Rueda de pase representado con objetivos Tercer hombre · Dejar de cara.
29,Rueda de pase en rombo,animations/29/portada.webp,animations/29/animacion.webm,8.00,2628,274353,OK,Ficha completa y referencia cf2e630e01147bb9.png revisadas; Rueda de pase representado con objetivos Tercer hombre · Dejar de cara.
30,Rueda de pase en hexágono,animations/30/portada.webp,animations/30/animacion.webm,8.00,3418,394683,OK,Ficha completa y referencia 12774feda5fa35a7.png revisadas; Rueda de pase representado con objetivos Tercer hombre · Dejar de cara.
31,Rueda de pase pared,animations/31/portada.webp,animations/31/animacion.webm,8.00,3358,351294,OK,Ficha completa y referencia eb826def02526fea.png revisadas; Rueda de pase representado con objetivos Pared · Técnica.
32,Rueda de pase inicio juego,animations/32/portada.webp,animations/32/animacion.webm,8.00,3560,333951,OK,Ficha completa y referencia ecfa5e3e9c7fd657.png revisadas; Rueda de pase representado con objetivos Inicio de juego · Técnica.
33,Rueda de pase Calentamiento,animations/33/portada.webp,animations/33/animacion.webm,8.00,2516,275865,OK,Ficha completa y referencia 1620c16a38e90988.png revisadas; Rueda de pase representado con objetivos Técnica · Coordinación.
34,Ataque/Defensa Juego real,animations/34/portada.webp,animations/34/animacion.webm,8.00,3190,398655,OK,Ficha completa y referencia a56b467d30ed3e29.png revisadas; Ataque/Defensa representado con objetivos Conservación de balón · Amplitud.
35,Ataque/Defensa Inicio juego,animations/35/portada.webp,animations/35/animacion.webm,8.00,2872,327745,OK,Ficha completa y referencia 74309be4803492dd.png revisadas; Ataque/Defensa representado con objetivos Inicio de juego · Conservación de balón.
36,Ataque/Defensa Ocupación,animations/36/portada.webp,animations/36/animacion.webm,8.00,2930,353395,OK,Ficha completa y referencia 3bc4db46e987f74e.png revisadas; Ataque/Defensa representado con objetivos Ocupación racional · Conservación de balón.
37,Ataque/Defensa Ocupación Carriles Exteriores,animations/37/portada.webp,animations/37/animacion.webm,8.00,3150,362770,OK,Ficha completa y referencia a37ff7509e03675a.png revisadas; Ataque/Defensa representado con objetivos Ocupación racional · Conservación de balón.
38,Ataque/Defensa 5 vs 3,animations/38/portada.webp,animations/38/animacion.webm,8.00,2234,290513,OK,Ficha completa y referencia ee319c74e54d5e8d.png revisadas; Ataque/Defensa representado con objetivos Ocupación racional · Finalización.
39,Ataque/Defensa 1 vs 1 + Cambio chip,animations/39/portada.webp,animations/39/animacion.webm,8.00,3188,365161,OK,Ficha completa y referencia ee18502ab2de3755.png revisadas; Ataque/Defensa representado con objetivos Cambio de chip · Finalización.
40,Ataque/Defensa Transición y Repliegue,animations/40/portada.webp,animations/40/animacion.webm,8.00,2082,292644,OK,Ficha completa y referencia ffdcc1d425e73a25.png revisadas; Ataque/Defensa representado con objetivos Temporización · Repliegue.
41,Circuito Fuerza Preventiva,animations/41/portada.webp,animations/41/animacion.webm,8.00,2358,285820,OK,Ficha completa y referencia a957b236239c83f9.png revisadas; Circuito representado con objetivos Fuerza preventiva · Coordinación.
42,Circuito Fuerza,animations/42/portada.webp,animations/42/animacion.webm,8.00,2140,268986,OK,Ficha completa y referencia 4d32b2c217899bc8.png revisadas; Circuito representado con objetivos Fuerza · Coordinación.
43,Circuito Fuerza Tren superior,animations/43/portada.webp,animations/43/animacion.webm,8.00,2094,259551,OK,Ficha completa y referencia 927ecbcda370b012.png revisadas; Circuito representado con objetivos Fuerza del tren superior · Core.
44,Circuito Fuerza Explosiva,animations/44/portada.webp,animations/44/animacion.webm,8.00,2016,245386,OK,Ficha completa y referencia bca3bc12c19823ac.png revisadas; Circuito representado con objetivos Fuerza explosiva · Coordinación.
45,Circuito Fuerza Resistencia,animations/45/portada.webp,animations/45/animacion.webm,8.00,2392,312731,OK,Ficha completa y referencia c4348383fb741496.png revisadas; Circuito representado con objetivos Fuerza resistencia · Fuerza del tren superior.
46,Circuito Fuerza Resistencia II,animations/46/portada.webp,animations/46/animacion.webm,8.00,2202,283493,OK,Ficha completa y referencia ee89125803d4eac5.png revisadas; Circuito representado con objetivos Fuerza resistencia · Técnica.
47,Circuito Coordinación enlazado,animations/47/portada.webp,animations/47/animacion.webm,8.00,1922,233063,OK,Ficha completa y referencia f7ba4ed047f23816.png revisadas; Circuito representado con objetivos Coordinación · Fuerza resistencia.
48,Circuito Resistencia Aeróbica + Posesión 4 vs 4,animations/48/portada.webp,animations/48/animacion.webm,8.00,2156,283951,OK,Ficha completa y referencia 08fb5c1fa6880855.png revisadas; Circuito representado con objetivos Resistencia aeróbica · Coordinación.
49,Prueba Course Navette,animations/49/portada.webp,animations/49/animacion.webm,8.00,2252,271795,OK,Ficha completa y referencia 8c62b19ec5964046.png revisadas; Circuito representado con objetivos Resistencia aeróbica.
50,Circuito Resistencia Aeróbica + cambios de ritmo,animations/50/portada.webp,animations/50/animacion.webm,8.00,2252,271795,OK,Ficha completa y referencia a49efd6f243fcfcd.png revisadas; Circuito representado con objetivos Resistencia aeróbica.
51,Circuito Coordinación,animations/51/portada.webp,animations/51/animacion.webm,8.00,2026,258326,OK,Ficha completa y referencia 62e2ec7fbc426c17.png revisadas; Circuito representado con objetivos Coordinación · Velocidad.
52,Circuito Fuerza Preventiva II,animations/52/portada.webp,animations/52/animacion.webm,8.00,2072,270250,OK,Ficha completa y referencia 8831abafb430ec0c.png revisadas; Circuito representado con objetivos Fuerza preventiva · Coordinación.
53,Circuito Resistencia Aeróbica + cambios de ritmo II,animations/53/portada.webp,animations/53/animacion.webm,8.00,2252,271795,OK,Ficha completa y referencia 02db5f770ab41dc7.png revisadas; Circuito representado con objetivos Resistencia aeróbica.
54,Circuito Resistencia Aeróbica + Centro y Remate,animations/54/portada.webp,animations/54/animacion.webm,8.00,2350,307114,OK,Ficha completa y referencia c2196beae15f3830.png revisadas; Circuito representado con objetivos Fuerza resistencia · Técnica.
55,Circuito Resistencia Aeróbica + Centro y Remate II,animations/55/portada.webp,animations/55/animacion.webm,8.00,2484,311522,OK,Ficha completa y referencia 9f5f7ed3c5c43829.png revisadas; Circuito representado con objetivos Fuerza resistencia · Técnica.
56,Circuito Resistencia Aeróbica por parejas,animations/56/portada.webp,animations/56/animacion.webm,8.00,2350,307114,OK,Ficha completa y referencia 84a3c1443aca3800.png revisadas; Circuito representado con objetivos Fuerza resistencia · Técnica.
57,Circuito de Finalización,animations/57/portada.webp,animations/57/animacion.webm,8.00,2118,283586,OK,Ficha completa y referencia f0ea80551b056843.png revisadas; Circuito representado con objetivos Finalización · Coordinación.
58,Circuito de Finalización + Velocidad,animations/58/portada.webp,animations/58/animacion.webm,8.00,2384,295419,OK,Ficha completa y referencia 65029035fce6028f.png revisadas; Circuito representado con objetivos Velocidad · Finalización.
59,Circuito de Finalización 3 porterías,animations/59/portada.webp,animations/59/animacion.webm,8.00,2384,295419,OK,Ficha completa y referencia 6483e7b59a19dd5d.png revisadas; Circuito representado con objetivos Finalización · Técnica.
60,Acción combinada Centro lateral,animations/60/portada.webp,animations/60/animacion.webm,8.00,3694,422783,OK,Ficha completa y referencia 5549f6dcd2f092c9.png revisadas; Acción Combinada representado con objetivos Finalización · Técnica.
61,Acción combinada con 2 delanteros,animations/61/portada.webp,animations/61/animacion.webm,8.00,3094,345275,OK,Ficha completa y referencia c113c01273fecd13.png revisadas; Acción Combinada representado con objetivos Finalización · Técnica.
62,Acción combinada con 2 delanteros II,animations/62/portada.webp,animations/62/animacion.webm,8.00,3094,345275,OK,Ficha completa y referencia 69b0a2b44aaf1f90.png revisadas; Acción Combinada representado con objetivos Finalización · Técnica.
63,Acción combinada con 2 delanteros III,animations/63/portada.webp,animations/63/animacion.webm,8.00,3094,345275,OK,Ficha completa y referencia 9cc235950e6ce514.png revisadas; Acción Combinada representado con objetivos Finalización · Técnica.
64,Acción combinada con 1 delantero,animations/64/portada.webp,animations/64/animacion.webm,8.00,3094,345275,OK,Ficha completa y referencia f86388ae98bd77ef.png revisadas; Acción Combinada representado con objetivos Finalización · Técnica.
65,ABP Defensa Faltas laterales,animations/65/portada.webp,animations/65/animacion.webm,8.00,3128,318048,OK,Ficha completa y referencia 73f357e35c9ec53b.png revisadas; ABP representado con objetivos Despeje · Finalización.
66,Juego de Posesión 4 vs 4 Inicio Saque de puerta,animations/66/portada.webp,animations/66/animacion.webm,8.00,3210,457882,OK,Ficha completa y referencia 906f2e58c3b29582.png revisadas; Juego de Posesión representado con objetivos Balón aéreo · Conservación de balón.
67,Juego de Posesión 7 vs 7 sobre portería central,animations/67/portada.webp,animations/67/animacion.webm,8.00,2290,401130,OK,Ficha completa y referencia b5671092691b1bd9.png revisadas; Juego de Posesión representado con objetivos Conservación de balón · Amplitud.
68,Juego de Posesión 8 vs 4,animations/68/portada.webp,animations/68/animacion.webm,8.00,2078,389872,OK,Ficha completa y referencia c6e39ff5cccb81f8.png revisadas; Juego de Posesión representado con objetivos Conservación de balón · Líneas de pase.
69,Juego de Posesión 4 vs 4 + 2 Comodines + Ataque,animations/69/portada.webp,animations/69/animacion.webm,8.00,2582,385087,OK,Ficha completa y referencia 72e4e5bf733b3823.png revisadas; Juego de Posesión representado con objetivos Conservación de balón · Líneas de pase.
70,Juego de Posesión 6 vs 6 + 1 Comodín Interior,animations/70/portada.webp,animations/70/animacion.webm,8.00,2420,384521,OK,Ficha completa y referencia cd64b7ffa887a231.png revisadas; Juego de Posesión representado con objetivos Conservación de balón · Líneas de pase.
71,Juego de Posesión 6 vs 6 con la mano,animations/71/portada.webp,animations/71/animacion.webm,8.00,2274,386821,OK,Ficha completa y referencia 37833f2ff0c4f166.png revisadas; Juego de Posesión representado con objetivos Movilidad · Apoyos.
72,Juego de Posesión Presión en campo contrario,animations/72/portada.webp,animations/72/animacion.webm,8.00,3042,390870,OK,Ficha completa y referencia 41a3cd26b1150f0d.png revisadas; Juego de Posesión representado con objetivos Presión · Sacar de zona.
73,Juego de Posesión en Hexágono,animations/73/portada.webp,animations/73/animacion.webm,8.00,4432,495095,OK,Ficha completa y referencia 42a1aa74afe5c28f.png revisadas; Juego de Posesión representado con objetivos Conservación de balón · Cambio de orientación.
74,Juego de Posesión 3 equipos,animations/74/portada.webp,animations/74/animacion.webm,8.00,2256,409575,OK,Ficha completa y referencia 39f96dfdf2d4941c.png revisadas; Juego de Posesión representado con objetivos Cambio de chip · Conservación de balón.
75,Juego de Posesión 6 vs 6 + 2 Comodines,animations/75/portada.webp,animations/75/animacion.webm,8.00,2636,409708,OK,Ficha completa y referencia 2ae21833aac442c4.png revisadas; Juego de Posesión representado con objetivos Sacar de zona · Pressing.
76,Juego de Posesión 4 vs 4 + 1 Comodín,animations/76/portada.webp,animations/76/animacion.webm,8.00,2582,385219,OK,Ficha completa y referencia 53c6b0a330085159.png revisadas; Juego de Posesión representado con objetivos Progresión · Pressing.
77,Juego de Posesión 3 vs 3 + 4 Comodines,animations/77/portada.webp,animations/77/animacion.webm,8.00,2906,411769,OK,Ficha completa y referencia 28b81ac56547e5b9.png revisadas; Juego de Posesión representado con objetivos Progresión · Conservación de balón.
78,Juego de Posesión 2 vs 2 + 2 Comodines,animations/78/portada.webp,animations/78/animacion.webm,8.00,2780,411296,OK,Ficha completa y referencia 4b179ffa27a3d417.png revisadas; Juego de Posesión representado con objetivos Líneas de pase · Conservación de balón.
79,Juego de Posesión 4 vs 4 + 2 Comodines,animations/79/portada.webp,animations/79/animacion.webm,8.00,2290,390835,OK,Ficha completa y referencia d5acbc40a41caf7c.png revisadas; Juego de Posesión representado con objetivos Conservación de balón · Líneas de pase.
80,Juego de Posesión 5 vs 5 + 2 Comodines,animations/80/portada.webp,animations/80/animacion.webm,8.00,2534,371120,OK,Ficha completa y referencia 7a8a3463e0790443.png revisadas; Juego de Posesión representado con objetivos Conservación de balón · Líneas de pase.
81,Juego de Posesión 5 vs 5 + 2 Comodines Exteriores,animations/81/portada.webp,animations/81/animacion.webm,8.00,2576,377616,OK,Ficha completa y referencia 2dfaac2e57e48f49.png revisadas; Juego de Posesión representado con objetivos Conservación de balón · Cambio de orientación.
82,Juego de Posición táctico 10 vs 10,animations/82/portada.webp,animations/82/animacion.webm,8.00,2380,446146,OK,Ficha completa y referencia 3df08ff4b1c07734.png revisadas; Juego de Posición representado con objetivos Conservación de balón · Líneas de pase.
83,Juego de Posición 5 vs 3 en banda + Cambio,animations/83/portada.webp,animations/83/animacion.webm,8.00,2710,394574,OK,Ficha completa y referencia 9df523225acfbac7.png revisadas; Juego de Posición representado con objetivos Agrupar gente · Cambio de orientación.
84,Juego de Posición 6 vs 6 Zona de Iniciación,animations/84/portada.webp,animations/84/animacion.webm,8.00,2420,402089,OK,Ficha completa y referencia 3a5dcc56944a8e3d.png revisadas; Juego de Posición representado con objetivos Dejar de cara · Conservación de balón.
85,Juego de posición en Doble área,animations/85/portada.webp,animations/85/animacion.webm,8.00,2632,406111,OK,Ficha completa y referencia a421b3fe2f963a99.png revisadas; Juego de Posición representado con objetivos Amplitud · Finalización.
86,Juego de Posición Presión en campo contrario,animations/86/portada.webp,animations/86/animacion.webm,8.00,2256,383795,OK,Ficha completa y referencia 187224abab3af13e.png revisadas; Juego de Posición representado con objetivos Presión · Conservación de balón.
87,Juego de Posición 8 vs 4 Inicio Juego,animations/87/portada.webp,animations/87/animacion.webm,8.00,2236,397979,OK,Ficha completa y referencia 5590f1542cf1f80b.png revisadas; Juego de Posición representado con objetivos Inicio de juego · Conservación de balón.
88,Juego de Posición Pasa Línea,animations/88/portada.webp,animations/88/animacion.webm,8.00,2256,375100,OK,Ficha completa y referencia 6691a43fc9d17970.png revisadas; Juego de Posición representado con objetivos Líneas de pase · Basculaciones.
89,Juego de Posición 5 vs 5 + 2 Comodines,animations/89/portada.webp,animations/89/animacion.webm,8.00,3650,507526,OK,Ficha completa y referencia 97c1da49d4f759d3.png revisadas; Juego de Posición representado con objetivos Organización ofensiva · Transiciones.
90,Juego de Posición Línea defensiva + Delanteros,animations/90/portada.webp,animations/90/animacion.webm,8.00,2166,391257,OK,Ficha completa y referencia 47eaa30b25fd8561.png revisadas; Juego de Posición representado con objetivos Finalización · Organización defensiva.
91,Juego de Posición 8 vs 5,animations/91/portada.webp,animations/91/animacion.webm,8.00,2578,402743,OK,Ficha completa y referencia 735ae24456da2223.png revisadas; Juego de Posición representado con objetivos Organización ofensiva · Líneas de pase.
92,Juego de Posición en Doble área II,animations/92/portada.webp,animations/92/animacion.webm,8.00,2726,422231,OK,Ficha completa y referencia 2e22199d245c7316.png revisadas; Juego de Posición representado con objetivos Amplitud · Basculaciones.
93,Juego de Posición Inicio Juego,animations/93/portada.webp,animations/93/animacion.webm,8.00,2508,416418,OK,Ficha completa y referencia 687f9eaa8dcc0dc8.png revisadas; Juego de Posición representado con objetivos Organización ofensiva · Inicio de juego.
94,Juego de Posición 8 vs 8 Duelos Posicionales,animations/94/portada.webp,animations/94/animacion.webm,8.00,2100,430799,OK,Ficha completa y referencia 724dccc6651ce57d.png revisadas; Juego de Posición representado con objetivos Marcajes · 1 vs 1.
95,Partido Condicionado 10 vs 10,animations/95/portada.webp,animations/95/animacion.webm,8.00,2282,441448,OK,Ficha completa y referencia 99f19dad5037c1a6.png revisadas; Partido Condicionado representado con objetivos Juego real · Conservación de balón.
96,Partido Condicionado 11 vs 11,animations/96/portada.webp,animations/96/animacion.webm,8.00,2318,463078,OK,Ficha completa y referencia 59297b654b2407e4.png revisadas; Partido Condicionado representado con objetivos Juego real · Conservación de balón.
97,Partido Condicionado 3 zonas,animations/97/portada.webp,animations/97/animacion.webm,8.00,1968,412064,OK,Ficha completa y referencia 39b05c6c057a5c04.png revisadas; Partido Condicionado representado con objetivos Tercer hombre · Dejar de cara.
98,Partido Condicionado Zonas laterales,animations/98/portada.webp,animations/98/animacion.webm,8.00,2166,399676,OK,Ficha completa y referencia 0771e89e4ae87c9a.png revisadas; Partido Condicionado representado con objetivos Conservación de balón · Regate.
99,Partido Condicionado Organización Ofensiva,animations/99/portada.webp,animations/99/animacion.webm,8.00,2380,456315,OK,Ficha completa y referencia e34bf9da03ccd3bd.png revisadas; Partido Condicionado representado con objetivos Organización ofensiva · Conservación de balón.
100,Partido Condicionado 4 Carriles,animations/100/portada.webp,animations/100/animacion.webm,8.00,2546,433877,OK,Ficha completa y referencia 3cf839f92029c22b.png revisadas; Partido Condicionado representado con objetivos Ocupación racional · Amplitud.
101,ABP Corner Ofensivo 1,animations/101/portada.webp,animations/101/animacion.webm,8.00,3046,333475,OK,Ficha completa y referencia 0d4d9f69b46e99be.png revisadas; ABP representado con objetivos Desmarques · Finalización.
102,ABP Corner Ofensivo 2,animations/102/portada.webp,animations/102/animacion.webm,8.00,3046,333475,OK,Ficha completa y referencia 54c00ca810a201be.png revisadas; ABP representado con objetivos Desmarques · Finalización.
103,ABP Corner Ofensivo 3,animations/103/portada.webp,animations/103/animacion.webm,8.00,3046,333475,OK,Ficha completa y referencia 0a4e60f080899986.png revisadas; ABP representado con objetivos Desmarques · Finalización.
104,ABP Corner Defensivo Marcaje,animations/104/portada.webp,animations/104/animacion.webm,8.00,3484,389494,OK,Ficha completa y referencia 79171d8c45ba324e.png revisadas; ABP representado con objetivos Marcajes · Finalización.
105,ABP Corner Defensivo Zona,animations/105/portada.webp,animations/105/animacion.webm,8.00,3484,389494,OK,Ficha completa y referencia 358d9e2c38286689.png revisadas; ABP representado con objetivos Defensa en zona · Finalización.
106,ABP Corner Defensivo Combinada,animations/106/portada.webp,animations/106/animacion.webm,8.00,3656,421898,OK,Ficha completa y referencia 8ac2be12126410cf.png revisadas; ABP representado con objetivos Defensa combinada · Finalización.
107,ABP Falta lateral,animations/107/portada.webp,animations/107/animacion.webm,8.00,4092,448577,OK,Ficha completa y referencia b80a7a2c6fe2253f.png revisadas; ABP representado con objetivos Marcajes · Finalización.
108,ABP Falta Frontal,animations/108/portada.webp,animations/108/animacion.webm,8.00,3700,408637,OK,Ficha completa y referencia 23710503ed02a600.png revisadas; ABP representado con objetivos Marcajes · Finalización.
109,Juego de las Casas,animations/109/portada.webp,animations/109/animacion.webm,8.00,2858,532193,OK,Ficha completa y referencia 0f08a3249716ce2e.png revisadas; Juego lúdico representado con objetivos Activación · Comunicación.
110,Juego del 3 en raya,animations/110/portada.webp,animations/110/animacion.webm,8.00,3260,606697,OK,Ficha completa y referencia 522ce57e4ef136da.png revisadas; Juego lúdico representado con objetivos Velocidad de reacción · Toma de decisiones.
111,Juego del Baloncesto,animations/111/portada.webp,animations/111/animacion.webm,8.00,2770,509293,OK,Ficha completa y referencia 6b9123646b1e36b7.png revisadas; Juego lúdico representado con objetivos Conservación de balón · Movilidad.
112,Juego del Fútbol Tenis,animations/112/portada.webp,animations/112/animacion.webm,8.00,2324,418977,OK,Ficha completa y referencia 8a6d06292316f020.png revisadas; Juego lúdico representado con objetivos Técnica · Comunicación.
113,Juego del Baloncesto en alturas,animations/113/portada.webp,animations/113/animacion.webm,8.00,2770,509293,OK,Ficha completa y referencia b0629c20dc71e964.png revisadas; Juego lúdico representado con objetivos Equilibrio · Comunicación.
114,Juego del Piedra/Papel/Tijera,animations/114/portada.webp,animations/114/animacion.webm,8.00,2422,435312,OK,Ficha completa y referencia c4df8eb1e2094a5b.png revisadas; Juego lúdico representado con objetivos Toma de decisiones · Velocidad de reacción.
